33|JAWA TENGAH
33.01.15.2013|Sidamulya
33.01.15.2014|Cilongkrang
33.01.15.2015|Purwasari
33.01.15.2016|Madusari
33.01.16|Dayeuhluhur
33.01.16.2001|Panulisan
33.01.16.2002|Matenggeng
33.01.16.2003|Ciwalen
33.01.16.2004|Dayeuhluhur
33.01.16.2005|Hanum
33.01.16.2006|Datar
33.01.16.2007|Bingkeng
33.01.16.2008|Bolang
33.01.16.2009|Kutaagung
33.01.16.2010|Cijeruk
33.01.16.2011|Cilumping
33.01.16.2012|Sumpinghayu
33.01.16.2013|Panulisan Barat
33.01.16.2014|Panulisan Timur
33.01.17|Sampang
33.01.17.2001|Karangtengah
33.01.17.2002|Brani
33.01.17.2003|Sampang
33.01.17.2004|Sidasari
33.01.17.2005|Paketingan
33.01.17.2006|Ketanggung
33.01.17.2007|Nusajati
33.01.17.2008|Karangjati
33.01.17.2009|Paberasan
33.01.17.2010|Karangasem
33.01.18|Cipari
33.01.18.2001|Caruy
33.01.18.2002|Segaralangu
33.01.18.2003|Pegadingan
33.01.18.2004|Cisuru
33.01.18.2005|Cipari
33.01.18.2006|Serang
33.01.18.2007|Mulyadadi
33.01.18.2008|Mekarsari
33.01.18.2009|Kutasari
33.01.18.2010|Karangreja
33.01.18.2011|Sidasari
33.01.19|Patimuan
33.01.19.2001|Patimuan
33.01.19.2002|Rawaapu
33.01.19.2003|Sidamukti
33.01.19.2004|Purwadadi
33.01.19.2005|Cinyawang
33.01.19.2006|Bulupayung
33.01.19.2007|Cimrutu
33.01.20|Bantarsari
33.01.20.2001|Binangun
33.01.20.2002|Bantarsari
33.01.20.2003|Cikedondong
33.01.20.2004|Kedungwadas
33.01.20.2005|Citembong
33.01.20.2006|Kamulyan
33.01.20.2007|Rawajaya
33.01.20.2008|Bulaksari
33.01.21|Cilacap Selatan
33.01.21.1001|Sidakaya
33.01.21.1002|Cilacap
33.01.21.1003|Tambakreja
33.01.21.1004|Tegalkamulyan
33.01.21.1005|Tegalreja
33.01.22|Cilacap Tengah
33.01.22.1001|Lomanis
33.01.22.1002|Gunungsimping
33.01.22.1003|Sidanegara
33.01.22.1004|Donan
33.01.22.1005|Kutawaru
33.01.23|Cilacap Utara
33.01.23.1001|Mertasinga
33.01.23.1002|Gumilir
33.01.23.1003|Karangtalun
33.01.23.1004|Tritih Kulon
33.01.23.1005|Kebonmanis
33.01.24|Kampung Laut
33.01.24.2001|Ujunggagak
33.01.24.2002|Ujungalang
33.01.24.2003|Panikel
33.01.24.2004|Klaces
33.02|KAB. BANYUMAS
33.02.01|Lumbir
33.02.01.2001|Cirahab
33.02.01.2002|Canduk
33.02.01.2003|Parungkamal
33.02.01.2004|Besuki
33.02.01.2005|Karanggayam
33.02.01.2006|Cidora
33.02.01.2007|Lumbir
33.02.01.2008|Dermaji
33.02.01.2009|Kedunggede
33.02.01.2010|Cingebul
33.02.02|Wangon
33.02.02.2001|Randegan
33.02.02.2002|Rawaheng
33.02.02.2003|Pengadegan
33.02.02.2004|Klapagading
33.02.02.2005|Wangon
33.02.02.2006|Banteran
33.02.02.2007|Jambu
33.02.02.2008|Jurangbahas
33.02.02.2009|Cikakak
33.02.02.2010|Wlahar
33.02.02.2011|Windunegara
33.02.02.2012|Klapagading Kulon
33.02.03|Jatilawang
33.02.03.2001|Gunung Wetan
33.02.03.2002|Pekuncen
33.02.03.2003|Karanglewas
33.02.03.2004|Karanganyar
33.02.03.2005|Margasana
33.02.03.2006|Adisara
33.02.03.2007|Kedungwringin
33.02.03.2008|Bantar
33.02.03.2009|Tinggarjaya
33.02.03.2010|Tunjung
33.02.03.2011|Gentawangi
33.02.04|Rawalo
33.02.04.2001|Losari
33.02.04.2002|Menganti
33.02.04.2003|Banjarparakan
33.02.04.2004|Rawalo
33.02.04.2005|Tambaknegara
33.02.04.2006|Sidamulih
33.02.04.2007|Pesawahan
33.02.04.2008|Tipar
33.02.04.2009|Sanggreman
33.02.05|Kebasen
33.02.05.2001|Adisana
33.02.05.2002|Bangsa
33.02.05.2003|Karangsari
33.02.05.2004|Randegan
33.02.05.2005|Kaliwedi
33.02.05.2006|Sawangan
33.02.05.2007|Kalisalak
33.02.05.2008|Cindaga
33.02.05.2009|Kebasen
33.02.05.2010|Gambarsari
33.02.05.2011|Tumiyang
33.02.05.2012|Mandirancan
33.02.06|Kemranjen
33.02.06.2001|Grujugan
33.02.06.2002|Sirau
33.02.06.2003|Sibalung
33.02.06.2004|Sibrama
33.02.06.2005|Kedungpring
33.02.06.2006|Kecila
33.02.06.2007|Nusamangir
33.02.06.2008|Karangjati
33.02.06.2009|Kebarongan
33.02.06.2010|Sidamulya
33.02.06.2011|Pageralang
33.02.06.2012|Alasmalang
33.02.06.2013|Petarangan
33.02.06.2014|Karanggintung
33.02.06.2015|Karangsalam
33.02.07|Sumpiuh
33.02.07.1012|Kebokura
33.02.07.1013|Sumpiuh
33.02.07.1014|Kradenan
33.02.07.2001|Nusadadi
33.02.07.2002|Selandaka
33.02.07.2003|Karanggedang
33.02.07.2004|Kemiri
33.02.07.2005|Pandak
33.02.07.2006|Kuntili
33.02.07.2007|Lebeng
33.02.07.2008|Selanegara
33.02.07.2009|Bogangin
33.02.07.2010|Banjarpanepen
33.02.07.2011|Ketanda
33.02.08|Tambak
33.02.08.2001|Plangkapan
33.02.08.2002|Gumelar Lor
33.02.08.2003|Gumelar Kidul
33.02.08.2004|Karangpetir
33.02.08.2005|Gebangsari
33.02.08.2006|Prembun
33.02.08.2007|Buniayu
33.02.08.2008|Pesantren
33.02.08.2009|Karangpucung
33.02.08.2010|Kamulyan
33.02.08.2011|Purwodadi
33.02.08.2012|Watuagung
33.02.09|Somagede
33.02.09.2001|Tanggeran
33.02.09.2002|Sokawera
33.02.09.2003|Somagede
33.02.09.2004|Klinting
33.02.09.2005|Kemawi
33.02.09.2006|Piasa Kulon
33.02.09.2007|Kanding
33.02.09.2008|Somakaton
33.02.09.2009|Plana
33.02.10|Kalibagor
33.02.10.2001|Srowot
33.02.10.2002|Suro
33.02.10.2003|Kaliori
33.02.10.2004|Wlahar Wetan
33.02.10.2005|Pekaja
33.02.10.2006|Karangdadap
33.02.10.2007|Kalibagor
33.02.10.2008|Pajerukan
33.02.10.2009|Petir
33.02.10.2010|Kalicupak Kidul
33.02.10.2011|Kalicupak Lor
33.02.10.2012|Kalisogra Wetan
33.02.11|Banyumas
33.02.11.2001|Binangun
33.02.11.2002|Pasinggangan
33.02.11.2003|Kedunggede
33.02.11.2004|Karangrau
33.02.11.2005|Kejawar
33.02.11.2006|Danaraja
33.02.11.2007|Kedunguter
33.02.11.2008|Sudagaran
33.02.11.2009|Pekunden
33.02.11.2010|Kalisube
33.02.11.2011|Dawuhan
33.02.11.2012|Papringan
33.02.12|Patikraja
33.02.12.2001|Wlahar Kulon
33.02.12.2002|Sokawera
33.02.12.2003|Pegalongan
33.02.12.2004|Patikraja
33.02.12.2005|Notog
33.02.12.2006|Karangendep
33.02.12.2007|Sawangan Wetan
33.02.12.2008|Kedungwuluh Kidul
33.02.12.2009|Kedungrandu
33.02.12.2010|Kedungwuluh Lor
33.02.12.2011|Karanganyar
33.02.12.2012|Sidabowa
33.02.12.2013|Kedungwringin
33.02.13|Purwojati
33.02.13.2001|Gerduren
33.02.13.2002|Karangtalun Kidul
33.02.13.2003|Kaliurip
33.02.13.2004|Karangtalun Lor
33.02.13.2005|Purwojati
33.02.13.2006|Klapasawit
33.02.13.2007|Karangmangu
33.02.13.2008|Kaliputih
33.02.13.2009|Kaliwangi
33.02.13.2010|Kalitapen
33.02.14|Ajibarang
33.02.14.2001|Darmakradenan
33.02.14.2002|Tipar Kidul
33.02.14.2003|Sawangan
33.02.14.2004|Jingkang
33.02.14.2005|Banjarsari
33.02.14.2006|Kalibenda
33.02.14.2007|Pancurendang
33.02.14.2008|Pancasan
33.02.14.2009|Karangbawang
33.02.14.2010|Kracak
33.02.14.2011|Ajibarang Kulon
33.02.14.2012|Ajibarang Wetan
33.02.14.2013|Lesmana
33.02.14.2014|Pandansari
33.02.14.2015|Ciberung
33.02.15|Gumelar
33.02.15.2001|Karangkemojing
33.02.15.2002|Paningkaban
33.02.15.2003|Cihonje
33.02.15.2004|Gancang
33.02.15.2005|Kedungurang
33.02.15.2006|Gumelar
33.02.15.2007|Cilangkap
33.02.15.2008|Tlaga
33.02.15.2009|Samudra
33.02.15.2010|Samudra Kulon
33.02.16|Pekuncen
33.02.16.2001|Cikembulan
33.02.16.2002|Candinegara
33.02.16.2003|Karangklesem
33.02.16.2004|Cikawung
33.02.16.2005|Cibangkong
33.02.16.2006|Petahunan
33.02.16.2007|Semedo
33.02.16.2008|Banjaranyar
33.02.16.2009|Pasiraman Lor
33.02.16.2010|Pasiraman Kidul
33.02.16.2011|Tumiyang
33.02.16.2012|Glempang
33.02.16.2013|Pekuncen
33.02.16.2014|Karangkemiri
33.02.16.2015|Kranggan
33.02.16.2016|Krajan
33.02.17|Cilongok
33.02.17.2001|Panusupan
33.02.17.2002|Jatisaba
33.02.17.2003|Kasegeran
33.02.17.2004|Pejogol
33.02.17.2005|Langgongsari
33.02.17.2006|Pageraji
33.02.17.2007|Sudimara
33.02.17.2008|Batuanten
33.02.17.2009|Cipete
33.02.17.2010|Cilongok
33.02.17.2011|Pernasidi
33.02.17.2012|Cikidang
33.02.17.2013|Karanglo
33.02.17.2014|Kalisari
33.02.17.2015|Karangtengah
33.02.17.2016|Panembangan
33.02.17.2017|Rancamaya
33.02.17.2018|Sambirata
33.02.17.2019|Gununglurah
33.02.17.2020|Sokawera
33.02.18|Karanglewas
33.02.18.2001|Kediri
33.02.18.2002|Pangebatan
33.02.18.2003|Tamansari
33.02.18.2004|Karanglewas Kidul
33.02.18.2005|Karangkemiri
33.02.18.2006|Pasir Wetan
33.02.18.2007|Pasir Lor
33.02.18.2008|Pasir Kulon
33.02.18.2009|Jipang
33.02.18.2010|Karanggude
33.02.18.2011|Singasari
33.02.18.2012|Babakan
33.02.18.2013|Sunyalangu
33.02.19|Sokaraja
33.02.19.2001|Kalikidang
33.02.19.2002|Wiradadi
33.02.19.2003|Karangkedawung
33.02.19.2004|Sokaraja Tengah
33.02.19.2005|Sokaraja Kidul
33.02.19.2006|Klahang
33.02.19.2007|Banjarsari Kidul
33.02.19.2008|Sokaraja Wetan
33.02.19.2009|Jompo Kulon
33.02.19.2010|Banjaranyar
33.02.19.2011|Lemberang
33.02.19.2012|Karangduren
33.02.19.2013|Sokaraja Lor
33.02.19.2014|Kedondong
33.02.19.2015|Pamijen
33.02.19.2016|Sokaraja Kulon
33.02.19.2017|Karangnanas
33.02.19.2018|Karangrau
33.02.20|Kembaran
33.02.20.2001|Ledug
33.02.20.2002|Pliken
33.02.20.2003|Purwodadi
33.02.20.2004|Karang Tengah
33.02.20.2005|Kramat
33.02.20.2006|Sambeng Wetan
33.02.20.2007|Sambeng Kulon
33.02.20.2008|Purbadana
33.02.20.2009|Kembaran
33.02.20.2010|Bojongsari
33.02.20.2011|Karangsoka
33.02.20.2012|Dukuhwaluh
33.02.20.2013|Tambaksari Kidul
33.02.20.2014|Bantarwuni
33.02.20.2015|Karangsari
33.02.20.2016|Linggasari
33.02.21|Sumbang
33.02.21.2001|Silado
33.02.21.2002|Karangturi
33.02.21.2003|Karangcegak
33.02.21.2004|Sumbang
33.02.21.2005|Tambaksogra
33.02.21.2006|Kebanggan
33.02.21.2007|Kawungcarang
33.02.21.2008|Karanggintung
33.02.21.2009|Datar
33.02.21.2010|Banjarsari Kulon
33.02.21.2011|Banjarsari Wetan
33.02.21.2012|Banteran
33.02.21.2013|Ciberem
33.02.21.2014|Susukan
33.02.21.2015|Sikapat
33.02.21.2016|Gandatapa
33.02.21.2017|Kotayasa
33.02.21.2018|Limpakuwus
33.02.21.2019|Kedungmalang
33.02.22|Baturraden
33.02.22.2001|Purwosari
33.02.22.2002|Kutasari
33.02.22.2003|Pandak
33.02.22.2004|Pamijen
33.02.22.2005|Rempoah
33.02.22.2006|Kebumen
33.02.22.2007|Karang Tengah
33.02.22.2008|Kemutug Kidul
33.02.22.2009|Karangsalam Lor
33.02.22.2010|Kemutug Lor
33.02.22.2011|Karangmangu
33.02.22.2012|Ketenger
33.02.23|Kedungbanteng
33.02.23.2001|Karangsalam Kidul
33.02.23.2002|Kebocoran
33.02.23.2003|Kedungbanteng
33.02.23.2004|Beji
33.02.23.2005|Karangnangka
33.02.23.2006|Keniten
33.02.23.2007|Dawuhan Wetan
33.02.23.2008|Dawuhan Kulon
33.02.23.2009|Baseh
33.02.23.2010|Kalisalak
33.02.23.2011|Windujaya
33.02.23.2012|Kalikesur
33.02.23.2013|Kutaliman
33.02.23.2014|Melung
33.02.24|Purwokerto Selatan
33.02.24.1001|Karangklesem
33.02.24.1002|Teluk
33.02.24.1003|Berkoh
33.02.24.1004|Purwokerto Kidul
33.02.24.1005|Purwokerto Kulon
33.02.24.1006|Karangpucung
33.02.24.1007|Tanjung
33.02.25|Purwokerto Barat
33.02.25.1001|Karanglewas Lor
33.02.25.1002|Pasir Kidul
33.02.25.1003|Rejasari
33.02.25.1004|Pasirmuncang
33.02.25.1005|Bantarsoka
33.02.25.1006|Kober
33.02.25.1007|Kedungwuluh
33.02.26|Purwokerto Timur
33.02.26.1001|Sokanegara
33.02.26.1002|Kranji
33.02.26.1003|Purwokerto Lor
33.02.26.1004|Purwokerto Wetan
33.02.26.1005|Mersi
33.02.26.1006|Arcawinangun
33.02.27|Purwokerto Utara
33.02.27.1001|Purwanegara
33.02.27.1002|Bancarkembar
33.02.27.1003|Sumampir
33.02.27.1004|Pabuaran
33.02.27.1005|Grendeng
33.02.27.1006|Karangwangkal
33.02.27.1007|Bobosan
33.03|KAB. PURBALINGGA
33.03.01|Kemangkon
33.03.01.2001|Kedungbenda
33.03.01.2002|Bokol
33.03.01.2003|Pelumutan
33.03.01.2004|Majatengah
33.03.01.2005|Kedunglegok
33.03.01.2006|Kemangkon
33.03.01.2007|Panican
33.03.01.2008|Bakulan
33.03.01.2009|Karangkemiri
33.03.01.2010|Pegandekan
33.03.01.2011|Senon
33.03.01.2012|Sumilir
33.03.01.2013|Kalialang
33.03.01.2014|Karangtengah
33.03.01.2015|Muntang
33.03.01.2016|Gambarsari
33.03.01.2017|Toyareka
33.03.01.2018|Jetis
33.03.01.2019|Majasem
33.03.02|Bukateja
33.03.02.2001|Tidu
33.03.02.2002|Wirasaba
33.03.02.2003|Kembangan
33.03.02.2004|Cipawon
33.03.02.2005|Karangcengis
33.03.02.2006|Karanggedang
33.03.02.2007|Karangnangka
33.03.02.2008|Kutawis
33.03.02.2009|Kebutuh
33.03.02.2010|Penaruban
33.03.02.2011|Kedungjati
33.03.02.2012|Bukateja
33.03.02.2013|Majasari
33.03.02.2014|Bajong
33.03.03|Kejobong
33.03.03.2001|Bandingan
33.03.03.2002|Lamuk
33.03.03.2003|Sokanegara
33.03.03.2004|Gumiwang
33.03.03.2005|Krenceng
33.03.03.2006|Nangkasawit
33.03.03.2007|Pandansari
33.03.03.2008|Kejobong
33.03.03.2009|Langgar
33.03.03.2010|Timbang
33.03.03.2011|Nangkod
33.03.03.2012|Kedarpan
33.03.03.2013|Pangempon
33.03.04|Kaligondang
33.03.04.2001|Lamongan
33.03.04.2002|Tejasari
33.03.04.2003|Cilapar
33.03.04.2004|Penolih
33.03.04.2005|Sinduraja
33.03.04.2006|Selakambang
33.03.04.2007|Selanegara
33.03.04.2008|Kaligondang
33.03.04.2009|Brecek
33.03.04.2010|Sempor Lor
33.03.04.2011|Penaruban
33.03.04.2012|Kalikajar
33.03.04.2013|Kembaran Wetan
33.03.04.2014|Slinga
33.03.04.2015|Arenan
33.03.04.2016|Sidanegara
33.03.04.2017|Pagerandong
33.03.04.2018|Sidareja
33.03.05|Purbalingga
33.03.05.1001|Bojong
33.03.05.1003|Kedungmenjangan
33.03.05.1005|Bancar
33.03.05.1006|Purbalingga Wetan
33.03.05.1007|Penambongan
33.03.05.1008|Purbalingga Kidul
33.03.05.1009|Kandanggampang
33.03.05.1010|Purbalingga Kulon
33.03.05.1011|Purbalingga Lor
33.03.05.1012|Kembaran Kulon
33.03.05.1013|Wirasana
33.03.05.2002|Toyareja
33.03.05.2004|Jatisaba
33.03.06|Kalimanah
33.03.06.1011|Mewek
33.03.06.1012|Karangmanyar
33.03.06.1013|Kalikabong
33.03.06.2001|Jompo
33.03.06.2002|Rabak
33.03.06.2003|Blater
33.03.06.2004|Manduraga
33.03.06.2005|Karangsari
33.03.06.2006|Kalimanah Kulon
33.03.06.2007|Sidakangen
33.03.06.2008|Karangpetir
33.03.06.2009|Kalimanah Wetan
33.03.06.2010|Grecol
33.03.06.2014|Selabaya
33.03.06.2015|Klapasawit
33.03.06.2016|Kedungwuluh
33.03.06.2017|Babakan
33.03.07|Kutasari
33.03.07.2001|Karanglewas
33.03.07.2002|Munjul
33.03.07.2003|Sumingkir
33.03.07.2004|Meri
33.03.07.2005|Kutasari
33.03.07.2006|Karangklesem
33.03.07.2007|Karangreja
33.03.07.2008|Karangaren
33.03.07.2009|Limbangan
33.03.07.2010|Cendana
33.03.07.2011|Candiwulan
33.03.07.2012|Karangcegak
33.03.07.2013|Candinata
33.03.07.2014|Karangjengkol
33.03.08|Mrebet
33.03.08.2001|Karangturi
33.03.08.2002|Onje
33.03.08.2003|Sindang
33.03.08.2004|Tangkisan
33.03.08.2005|Kradenan
33.03.08.2006|Lambur
33.03.08.2007|Selaganggeng
33.03.08.2008|Mangunegara
33.03.08.2009|Karangnangka
33.03.08.2010|Mrebet
33.03.08.2011|Bojong
33.03.08.2012|Serayu Karanganyar
33.03.08.2013|Serayu Larangan
33.03.08.2014|Campakoah
33.03.08.2015|Pagerandong
33.03.08.2016|Cipaku
33.03.08.2017|Binangun
33.03.08.2018|Pengalusan
33.03.08.2019|Sangkanayu
33.03.09|Bobotsari
33.03.09.2001|Gandasuli
33.03.09.2002|Kalapacung
33.03.09.2003|Karangmalang
33.03.09.2004|Banjarsari
33.03.09.2005|Majapura
33.03.09.2006|Bobotsari
33.03.09.2007|Karangduren
33.03.09.2008|Pakuncen
33.03.09.2009|Karangtalun
33.03.09.2010|Gunungkarang
33.03.09.2011|Talagening
33.03.09.2012|Tlagayasa
33.03.09.2013|Dagan
33.03.09.2014|Palumbungan
33.03.09.2015|Limbasari
33.03.09.2016|Palumbungan Wetan
33.03.10|Karangreja
33.03.10.2001|Serang
33.03.10.2002|Kutabawa
33.03.10.2003|Siwarak
33.03.10.2004|Tlahab Lor
33.03.10.2005|Tlahab Kidul
33.03.10.2006|Karangreja
33.03.10.2007|Gondang
33.03.11|Karanganyar
33.03.11.2001|Ponjen
33.03.11.2002|Buara
33.03.11.2003|Brakas
33.03.11.2004|Bungkanel
33.03.11.2005|Lumpang
33.03.11.2006|Karanggedang
33.03.11.2007|Kabunderan
33.03.11.2008|Jambudesa
33.03.11.2009|Maribaya
33.03.11.2010|Karanganyar
33.03.11.2012|Banjarkerta
33.03.11.2013|Kalijaran
33.03.11.2014|Kaliori
33.03.12|Karangmoncol
33.03.12.2001|Karangsari
33.03.12.2002|Pepedan
33.03.12.2003|Pekiringan
33.03.12.2004|Grantung
33.03.12.2005|Rajawana
33.03.12.2006|Tajug
33.03.12.2007|Tamansari
33.03.12.2008|Baleraksa
33.03.12.2009|Tunjungmuli
33.03.12.2010|Kramat
33.03.12.2011|Sirau
33.03.13|Rembang
33.03.13.2001|Wlahar
33.03.13.2002|Bantarbarang
33.03.13.2003|Karangbawang
33.03.13.2004|Gunungwuled
33.03.13.2005|Losari
33.03.13.2006|Bodaskarangjati
33.03.13.2007|Wanogara Wetan
33.03.13.2008|Wanogara Kulon
33.03.13.2009|Makam
33.03.13.2010|Sumampir
33.03.13.2011|Tanalum
33.03.13.2012|Panusupan
33.03.14|Bojongsari
33.03.14.2001|Brobot
33.03.14.2002|Gembong
33.03.14.2003|Galuh
33.03.14.2004|Banjaran
33.03.14.2005|Patemon
33.03.14.2006|Bojongsari
33.03.14.2007|Kajongan
33.03.14.2008|Karangbanjar
33.03.14.2009|Beji
33.03.14.2010|Pagedangan
33.03.14.2011|Pekalongan
33.03.14.2012|Metenggeng
33.03.14.2013|Bumisari
33.03.15|Padamara
33.03.15.1004|Karangsentul
33.03.15.2001|Karangpule
33.03.15.2002|Sokawera
33.03.15.2003|Karangjambe
33.03.15.2005|Bojanegara
33.03.15.2006|Gemuruh
33.03.15.2007|Dawuhan
33.03.15.2008|Prigi
33.03.15.2009|Padamara
33.03.15.2010|Purbayasa
33.03.15.2011|Kalitinggar
33.03.15.2012|Mipiran
33.03.15.2013|Karanggambas
33.03.15.2014|Kalitinggar Kidul
33.03.16|Pengadegan
