51|BALI
51.08.02.2021|Umeanyar
51.08.03|Busung biu
51.08.03.2001|Sepang
51.08.03.2002|Tista
51.08.03.2003|Bongancina
51.08.03.2004|Pucaksari
51.08.03.2005|Telaga
51.08.03.2006|Titab
51.08.03.2007|Subuk
51.08.03.2008|Tinggarsari
51.08.03.2009|Kedis
51.08.03.2010|Kekeran
51.08.03.2011|Busungbiu
51.08.03.2012|Pelapuan
51.08.03.2013|Bengkel
51.08.03.2014|Umejero
51.08.03.2015|Sepang Kelod
51.08.04|Banjar
51.08.04.2001|Banyuseri
51.08.04.2002|Tirtasari
51.08.04.2003|Kayuputih
51.08.04.2004|Banyuatis
51.08.04.2005|Gesing
51.08.04.2006|Munduk
51.08.04.2007|Gobleg
51.08.04.2008|Pedawa
51.08.04.2009|Cempaga
51.08.04.2010|Sidetapa
51.08.04.2011|Tampekan
51.08.04.2012|Banjar Tegeha
51.08.04.2013|Banjar
51.08.04.2014|Dencarik
51.08.04.2015|Temukus
51.08.04.2016|Tigawasa
51.08.04.2017|Kaliasem
51.08.05|Sukasada
51.08.05.1009|Sukasada
51.08.05.2001|Pancasari
51.08.05.2002|Wanagiri
51.08.05.2003|Ambengan
51.08.05.2004|Gitgit
51.08.05.2005|Pegayaman
51.08.05.2006|Silangjana
51.08.05.2007|Pegadungan
51.08.05.2008|Padangbulia
51.08.05.2010|Sambangan
51.08.05.2011|Panji
51.08.05.2012|Panji Anom
51.08.05.2013|Tegallinggah
51.08.05.2014|Selat
51.08.05.2015|Kayu Putih
51.08.06|Buleleng
51.08.06.1006|Banyuasari
51.08.06.1007|Banjar Tegal
51.08.06.1008|Kendran
51.08.06.1009|Paket Agung
51.08.06.1010|Kampung Singaraja
51.08.06.1011|Liligundi
51.08.06.1012|Beratan
51.08.06.1019|Banyuning
51.08.06.1020|Penarukan
51.08.06.1021|Kampung Kajanan
51.08.06.1022|Astina
51.08.06.1023|Banjar Jawa
51.08.06.1024|Kaliuntu
51.08.06.1025|Kampung Anyar
51.08.06.1026|Kampung Bugis
51.08.06.1027|Banjar Bali
51.08.06.1029|Kampung Baru
51.08.06.2001|Kalibukbuk
51.08.06.2002|Anturan
51.08.06.2003|Tukadmungga
51.08.06.2004|Pemaron
51.08.06.2005|Baktiseraga
51.08.06.2013|Sarimekar
51.08.06.2014|Naga Sepaha
51.08.06.2015|Petandakan
51.08.06.2016|Alasangker
51.08.06.2017|Poh Bengong
51.08.06.2018|Jinengdalem
51.08.06.2028|Penglatan
51.08.07|Sawan
51.08.07.2001|Lemukih
51.08.07.2002|Galungan
51.08.07.2003|Sekumpul
51.08.07.2004|Bebetin
51.08.07.2005|Sudaji
51.08.07.2006|Sawan
51.08.07.2007|Menyali
51.08.07.2008|Suwug
51.08.07.2009|Jagaraga
51.08.07.2010|Sinabun
51.08.07.2011|Kerobokan
51.08.07.2012|Sangsit
51.08.07.2013|Bungkulan
51.08.07.2014|Giri Emas
51.08.08|Kubutambahan
51.08.08.2001|Tambakan
51.08.08.2002|Pakisan
51.08.08.2003|Bontihing
51.08.08.2004|Tajun
51.08.08.2005|Tunjung
51.08.08.2006|Depeha
51.08.08.2007|Tamblang
51.08.08.2008|Bulian
51.08.08.2009|Bila
51.08.08.2010|Bengkala
51.08.08.2011|Kubutambahan
51.08.08.2012|Bukti
51.08.08.2013|Mengening
51.08.09|Tejakula
51.08.09.2001|Sembiran
51.08.09.2002|Pacung
51.08.09.2003|Julah
51.08.09.2004|Madenan
51.08.09.2005|Bondalem
51.08.09.2006|Tejakula
51.08.09.2007|Les
51.08.09.2008|Penuktukan
51.08.09.2009|Sambirenteng
51.08.09.2010|Tembok
51.71|KOTA DENPASAR
51.71.01|Denpasar Selatan
51.71.01.1001|Serangan
51.71.01.1002|Pedungan
51.71.01.1003|Sesetan
51.71.01.1004|Panjer
51.71.01.1005|Renon
51.71.01.1006|Sanur
51.71.01.2007|Sidakarya
51.71.01.2008|Pemogan
51.71.01.2009|Sanur Kaja
51.71.01.2010|Sanur Kauh
51.71.02|Denpasar Timur
51.71.02.1003|Kesiman
51.71.02.1006|Sumerta
51.71.02.1010|Dangin Puri
51.71.02.1014|Penatih
51.71.02.2001|Dangin Puri Kelod
51.71.02.2002|Sumerta Kelod
51.71.02.2004|Kesiman Petilan
51.71.02.2005|Kesiman Kertalangu
51.71.02.2007|Sumerta Kaja
51.71.02.2008|Sumerta Kauh
51.71.02.2015|Penatih Dangin Puri
51.71.03|Denpasar Barat
51.71.03.1005|Dauh Puri
51.71.03.1007|Pemecutan
51.71.03.1010|Padangsambian
51.71.03.2001|Padangsambian Kelod
51.71.03.2002|Pemecutan Kelod
51.71.03.2003|Dauh Puri Kauh
51.71.03.2004|Dauh Puri Kelod
51.71.03.2006|Dauh Puri Kangin
51.71.03.2008|Tegal Harum
51.71.03.2009|Tegal Kertha
51.71.03.2011|Padang Sambian Kaja
51.71.04|Denpasar Utara
51.71.04.1004|Tonja
51.71.04.1007|Ubung
51.71.04.1009|Peguyangan
51.71.04.2001|Dangin Puri Kangin
51.71.04.2002|Dangin Puri Kauh
51.71.04.2003|Dangin Puri Kaja
51.71.04.2005|Pemecutan Kaja
51.71.04.2006|Dauh Puri Kaja
51.71.04.2008|Ubung Kaja
51.71.04.2010|Peguyangan Kaja
51.71.04.2011|Peguyangan Kangin
